"symbol","name","market_cap","sector","industry","exchange"
"LPTN","Lpath, Inc.","65378685","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","nasdaq"
"LSI","LSI Corporation","4066737443.6","Technology","Semiconductors","nasdaq"
"MALL","PC Mall, Inc.","72931748.52","Consumer Services","Catalog/Specialty Distribution","nasdaq"
"MAMS","MAM Software Group, Inc.","63143457.65","Technology","Computer Software: Prepackaged Software","nasdaq"
"MAPP","MAP Pharmaceuticals, Inc.","548941298.44","Consumer Durables","Major Pharmaceuticals","nasdaq"
"MDH","MHI Hospitality Corporation","38000186.7786","Consumer Services","Real Estate Investment Trusts","nasdaq"
"MDXG","MiMedx Group, Inc","674489968.57","Health Care","Medical/Dental Instruments","nasdaq"
"MEDW","MEDIWARE Information Systems, Inc.","186763312.68","Technology","EDP Services","nasdaq"
"MEIL","METHES ENERGIES INTERNATIONAL LTD","20592576.719","Basic Industries","Major Chemicals","nasdaq"
"MEILU","METHES ENERGIES INTERNATIONAL LTD","0","Basic Industries","Major Chemicals","nasdaq"
"MEILW","METHES ENERGIES INTERNATIONAL LTD","0","Basic Industries","Major Chemicals","nasdaq"
"MEILZ","METHES ENERGIES INTERNATIONAL LTD","0","Basic Industries","Major Chemicals","nasdaq"
"MGI","Moneygram International, Inc.","1144210684.24","Miscellaneous","Business Services","nasdaq"
"MICT","Micronet Enertec Technologies, Inc.","26264756.2","Capital Goods","Electrical Products","nasdaq"
"MICTW","Micronet Enertec Technologies, Inc.","0","Capital Goods","Electrical Products","nasdaq"
"MIPS","MIPS Technologies, Inc.","376031495.64","Technology","Semiconductors","nasdaq"
"MKTAY","Makita Corp.","39000943.47","Technology","Industrial Machinery/Components","nasdaq"
"MKTO","Marketo, Inc.","0","Technology","Computer Software: Prepackaged Software","nasdaq"
"MLVF","Malvern Bancorp, Inc.","78112069.2773","Finance","Banks","nasdaq"
"MLVFD","Malvern Federal Bancorp, Inc.","65479825","Finance","Banks","nasdaq"
